zip,city,state,numbers
44095,Eastlake,OH,1643
44129,Cleveland,OH,43
44021,Burton,OH,2
44039,North Ridgeville,OH,337
44092,Wickliffe,OH,4
72904,Fort Smith,AR,1
85014,Phoenix,AZ,6592
40206,Louisville,KY,746
97229,Portland,OR,11015
97303,Salem,OR,1
70118,New Orleans,LA,204
70062,Kenner,LA,2805
70139,New Orleans,LA,4086
70121,New Orleans,LA,302
70130,New Orleans,LA,13
70113,New Orleans,LA,34
87101,Albuquerque,NM,2651
87506,Santa Fe,NM,1
94538,Fremont,CA,91
94612,Oakland,CA,3930
94703,Berkeley,CA,3
78751,Austin,TX,2143
76537,Jarrell,TX,57
78712,Austin,TX,4778
78749,Austin,TX,247
45241,Cincinnati,OH,373
45246,Cincinnati,OH,2778
45203,Cincinnati,OH,2
45240,Cincinnati,OH,11
45044,Middletown,OH,448
45236,Cincinnati,OH,35
11717,Brentwood,NY,2185
11514,Carle Place,NY,2774
11050,Port Washington,NY,412
11791,Syosset,NY,2
11793,Wantagh,NY,6
11803,Plainview,NY,2207
11003,Elmont,NY,5
48924,Elmont,NY,200
49036,Coldwater,MI,11
48933,Lansing,MI,23
49242,Hillsdale,MI,10
49201,Jackson,MI,791
49221,Adrian,MI,27
48843,Howell,MI,1
12205,Albany,NY,1650
12227,Albany,NY,1025
12307,Schenectady,NY,678
12223,Schenectady,NY,130
85741,Tucson,AZ,3866
85719,Tucson,AZ,2
24016,Roanoke,VA,296
97702,Bend,OR,1
97408,Eugene,OR,83
97504,Medford,OR,295
33426,Boynton Beach,FL,106
33463,Lake Worth,FL,2
33414,Wellington,FL,416
33480,Palm Beach,FL,120
33405,West Palm Beach,FL,9
33486,Boca Raton,FL,1225
90650,Norwalk,CA,35
90804,Long Beach,CA,113
52803,Davenport,IA,136
18515,Davenport,IA,112
18507,Moosic,PA,126
18447,Olyphant,PA,144
18707,Mountain Top,PA,7
22214,Arlington,VA,102
73757,Lucien,OK,3
48065,Romeo,MI,1
48036,Clinton Township,MI,25
48093,Warren,MI,51
39232,Flowood,MS,53
39307,Meridian,MS,20
39401,Hattiesburg,MS,463
85004,Phoenix,AZ,36
